FID,OBJECTID,MAPLABELNA,LEGENDTYPE,PUBLICVIEW,LOCID,stfacid,progid,facName,LocAddress,CityName,State,locZip,countyName,FO,locSupplem,opStatus,OperatType,BasinInspe,AnimalUnit,Horses,TownshipNa,Tier,Range,rangeDir,Sectn,Latitude,Longitude,X_Coord,Y_Coord,Accuracy,colMthTxt,refPntTxt,VerifyTxt,collectBy,ColDate,locComment,Congress,StHouse,StSenate,HUC,Hyperlink,uniqueID,Swine,CattleDair,CattleBeef,Chickens,Turkeys,SheepLGoat,Other,ConsPermit,NPDESPermi,MMP,PindexMMP,NMP
16,1356673,Herbold Farms Inc.,31,1,20000208879.0,310681695,63120,Herbold Farms Inc.,8097 NORTH 59TH AVENUE NORTH,Mingo,IA,50168,Jasper,5, ,Inactive,Confinement,Yes,0.0,0,Sherman,80,20,W,9,41.76057,-93.18516,484608,4623209,570,PUBLIC LAND SURVEY-QUARTER SECTION,PLANT ENTRANCE (GENERAL), ,bryan.bu,1523022763000.0, ,2,29,15,70801050805.0,https://programs.iowadnr.gov/afoemmp/Facility/FacilitySummaryByID?facilityID=63120,1622,0,0,0,0,0,0,0,N,N, , , 
30,1356687,Sanford Owens,31,1,20000208894.0,310678094,63532,Sanford Owens,2705 290th St,Oskaloosa,IA,52577,Mahaska,5, ,Active,Confinement,No,0.0,0,Harrison,74,15,W,1,41.2344,-92.54345,538261,4564879,20,INTERPOLATION-PHOTO, , ,cwolter,1210896000000.0, ,3,72,36,70801070101.0,https://programs.iowadnr.gov/afoemmp/Facility/FacilitySummaryByID?facilityID=63532,1636,0,0,0,0,0,0,0,N,N, , , 
42,1356699,Delbert Westphalen,7,1,20000208907.0,310678816,64167,Delbert Westphalen,64000 Boston Rd,Atlantic,IA,50022,Cass,4, ,Active,Confinement,No,0.0,0,Pymosa,77,36,W,2,41.49429,-94.96437,336030,4595493,20,INTERPOLATION-PHOTO, , ,cwolter,1210896000000.0, ,5,57,29,102400030106.0,https://programs.iowadnr.gov/afoemmp/Facility/FacilitySummaryByID?facilityID=64167,1648,0,0,0,0,0,0,0,N,N, , , 
50,1356707,Home Sow Farm,31,1,20000208916.0,310682125,59268,Home Sow Farm,500th Street SE,Iowa City,IA,52240,Johnson,6, ,Inactive,Confinement,No,0.0,0,Pleasant Valley,78,6,W,13,41.56532,-91.48748,626114,4602621,570,PUBLIC LAND SURVEY-QUARTER SECTION, , ,bbunke,1218153600000.0, ,2,89,45,70802090604.0,https://programs.iowadnr.gov/afoemmp/Facility/FacilitySummaryByID?facilityID=59268,1656,0,0,0,0,0,0,0,N,N,Y,N,N
88,1356745,Howard Hill,31,1,20000208958.0,310694472,63131,Howard Hill,59210 300th Street,Cambridge,IA,50046,Story,5, ,Active,Confinement,No,0.0,0,Union,82,23,W,10,41.92336,-93.518,457049,4641397,20,INTERPOLATION-PHOTO,CENTER OF FACILITY, ,zachery.,1497613307000.0,moved to middle of feedlot,4,49,25,70801050903.0,https://programs.iowadnr.gov/afoemmp/Facility/FacilitySummaryByID?facilityID=63131,1694,0,0,0,0,0,0,0,N,N, , , 
98,1356755,Iowa Select - Long Sow Site (not Built),31,1,20000208968.0,310679155,60882,Iowa Select - Long Sow Site (not Built), ,Iowa Falls,IA,50126,Hamilton,2, ,Inactive,Confinement,No,0.0,0,Hamilton,87,25,W,31,42.30874,-93.81315,432983,4684376,280,PUBLIC LAND SURVEY - SIXTEENTH SECTION, , ,bbunke,1218153600000.0, ,4,9,5,70801050302.0,https://programs.iowadnr.gov/afoemmp/Facility/FacilitySummaryByID?facilityID=60882,1704,0,0,0,0,0,0,0,Y,N,Y,N,N
99,1356756,Darlene Gustafson,31,1,20000208970.0,310679191,62753,Darlene Gustafson, , ,XX,0,Mills,4, ,Inactive,Confinement,Yes,0.0,0,Indian Creek,72,41,W,3,41.06304,-95.5423,286383,4548870,570,PUBLIC LAND SURVEY-QUARTER SECTION, , ,bbunke,1218153600000.0, ,5,97,49,102400020607.0,https://programs.iowadnr.gov/afoemmp/Facility/FacilitySummaryByID?facilityID=62753,1705,0,0,0,0,0,0,0,N,N, , , 
103,1356760,Perry Eason,32,1,20000208974.0,310679333,62452,Perry Eason,406 195th St,Scranton,IA,51462,Greene,4, ,Active,Open Feedlot,No,0.0,0, ,0,0, ,0,42.07096,-94.57056,370073,4658848,100,ADDRESS MATCHING-DIGITIZED, , ,ggeorg,1218672000000.0, ,4,50,25,71000061303.0,https://programs.iowadnr.gov/afoemmp/Facility/FacilitySummaryByID?facilityID=62452,1709,0,0,0,0,0,0,0,N,N, , , 
113,1356770,Larry Decker,32,1,20000208984.0,310679815,65052,Larry Decker,17047 Higginsport Rd,Bernard,IA,52032,Dubuque,1, ,Active,Open Feedlot,No,0.0,0,Prairie Creek,87,1,E,27,42.30988,-90.82083,679599,4686482,20,INTERPOLATION-PHOTO, , ,cwolter,1210896000000.0, ,1,31,16,70600060701.0,https://programs.iowadnr.gov/afoemmp/Facility/FacilitySummaryByID?facilityID=65052,1719,0,0,0,0,0,0,0,N,N, , , 
119,1356776,Ibp,31,1,20000208990.0,310694647,59924,Ibp,24620 Highway 2,Bloomfield,IA,52537,Davis,6, ,Inactive,Confinement,Yes,0.0,0,Wyacondah,68,14,W,9,40.70428,-92.47591,544274,4506062,1140,PUBLIC LAND SURVEY-SECTION, , ,bbunke,1218153600000.0, ,2,94,47,71100010801.0,https://programs.iowadnr.gov/afoemmp/Facility/FacilitySummaryByID?facilityID=59924,1725,0,0,0,0,0,0,0,N,N, , , 
150,1356808,Edwin Ropp Farm,32,1,20000209024.0,310696563,64925,Edwin Ropp Farm,5543 Sharon Center Rd SW,Kalona,IA,52247,Johnson,6, ,Inactive,Open Feedlot,No,0.0,0,Sharon,78,7,W,29,41.52905,-91.68662,609570,4598323,20,INTERPOLATION-PHOTO, , ,cwolter,1210896000000.0, ,2,89,45,70802090206.0,https://programs.iowadnr.gov/afoemmp/Facility/FacilitySummaryByID?facilityID=64925,1757,0,0,0,0,0,0,0,N,N, , , 
152,1356810,Kenny Norris,32,1,20000209026.0,310696645,64528,Kenny Norris,3149 Kentucky Ave,Bedford,IA,50833,Taylor,4, ,Active,Open Feedlot,No,0.0,0,Ross,67,34,W,21,40.59688,-94.74877,352030,4495478,20,INTERPOLATION-PHOTO, , ,cwolter,1210896000000.0, ,5,96,48,102400130104.0,https://programs.iowadnr.gov/afoemmp/Facility/FacilitySummaryByID?facilityID=64528,1759,0,0,0,0,0,0,0,N,N, , , 
200,1356858,Conley Nelson,7,1,20000209079.0,310697899,60623,Conley Nelson,2185 Washington Ave,Goldfield,IA,50542,Humboldt,2, ,Inactive,Confinement,No,0.0,0,Lake,92,27,W,34,42.73339,-94.0127,417100,4731707,20,INTERPOLATION-PHOTO, , ,cwolter,1210896000000.0, ,4,8,4,71000050501.0,https://programs.iowadnr.gov/afoemmp/Facility/FacilitySummaryByID?facilityID=60623,1807,0,0,0,0,0,0,0,Y,N, , , 
204,1356863,Pleasant 27 Site,31,1,20000209084.0,310698129,64835,Pleasant 27 Site, ,Eldora,IA,50627,Hardin,2, ,Inactive,Confinement,No,0.0,0,Pleasant,87,20,W,27,42.31916,-93.16927,486052,4685227,280,PUBLIC LAND SURVEY - SIXTEENTH SECTION, , ,bbunke,1218153600000.0, ,4,44,22,70802070604.0,https://programs.iowadnr.gov/afoemmp/Facility/FacilitySummaryByID?facilityID=64835,1812,0,0,0,0,0,0,0,N,N,Y,N,N
